job_x_id,job_requirement_name
486,Medical office experience
486,Medical administrative support
487,Cash handling
487,Basic math
487,Product demos
487,Customer service
487,POS
487,Day Shift
488,Driver's License
488,Ethernet
488,Hand tools
488,Cabling
488,Computer networking
490,RN License
490,CPR Certification
490,Medication administration
490,Spinal tap
490,Care plans
490,LPN
491,Dispatching
491,Typing
491,Organizational skills
491,Transportation management systems
491,Microsoft Outlook
492,Basic math
492,Retail sales
492,Sales
492,Customer service
492,Retail math
494,Customer service
494,Guest services
494,Cash handling
494,Hospitality
494,Basic math
494,Events management
495,Hotel experience
495,Front desk
495,Customer service
496,Manufacturing
496,Assembly
496,Computer operation
496,Kaizen
496,Lean manufacturing
496,Day Shift
497,Bachelor's
497,EDUCATION
497,Research Experience: 1 year
497,Language
498,LPN
498,Nursing
498,RN License
498,Continuous improvement
498,Acute care
498,Night Shift
499,Insurance verification
499,Call center
499,EMR systems
499,EHR systems
499,ICD-10
500,BLS Certification
500,LICENSE
500,LPN
500,License/Certification
501,Customer service
501,Microsoft Excel
501,NetSuite
501,Microsoft Word
501,Microsoft Office
501,Bilingual
503,Driver's License
503,Distribution center
503,Spanish
503,Bilingual
503,Basic math
503,Heavy lifting
505,Customer service
505,Administrative experience
505,Organizational skills
505,Phone etiquette
505,Front desk
505,Day Shift
506,Veterinary Medicine
506,Veterinary critical care experience
506,DEA Certification
506,Animal restraint
506,Aseptic technique
508,Restaurant experience
508,Food handling
508,Food service
509,Bachelor's degree
509,Data entry
509,Writing skills
509,Organizational skills
509,Cash register
509,Cash handling
513,Customer service
513,Hospitality
513,Hotel experience
515,Materials handling
515,Warehouse management system
515,Equipment repair
515,Organizational skills
515,Customer service
517,LPN
517,Acute care
517,CPR Certification
517,BLS Certification
518,Day Shift
518,SHIFT_AVAILABILITY
519,Data entry
519,Customer service
519,Analysis skills
519,Administrative experience
519,QuickBooks
525,Dispatching
525,3PL
525,GIS
525,AS400
525,Transportation management systems
555,Driver's License
555,Customer service
555,Time management
555,Serving
555,Photography
555,Creativity
558,Manufacturing
558,Assembly
559,Veterinary Medicine
559,Veterinary critical care experience
559,DEA Certification
559,Animal restraint
559,Aseptic technique
560,Customer service
560,POS
560,Serving
561,Organizational skills
561,Legal administrative experience
561,Legal drafting
561,Customer service
561,Insurance verification
561,Day Shift
563,Customer service
563,Restaurant experience
563,POS
563,Serving
565,Heavy lifting
565,Warehouse experience
565,Electric pallet jack
566,LPN
566,Acute care
566,CPR Certification
566,BLS Certification
568,Forklift
568,Sales
568,Assistant manager experience
568,Sales management
568,Shift management
568,Cash handling
570,LVN
570,LICENSE
570,BLS Certification
570,License/Certification
572,Cleaning
572,Residential cleaning
572,Customer service
572,Floor care
572,English
